TEAM,SEASON,AVG_TIME
Burnley,2014-15,2.4
Chelsea,2014-15,3.1
Crystal Palace,2014-15,2.1
Everton,2014-15,3.4
Hull City,2014-15,2.1
Leicester City,2014-15,2.5
Liverpool,2014-15,3.1
Manchester City,2014-15,3.2
Manchester United,2014-15,3.8
Newcastle United,2014-15,3.2
QPR,2014-15,2.4
Southampton,2014-15,2.2
Stoke City,2014-15,3.2
Sunderland,2014-15,1.9
Swansea City,2014-15,2.7
Tottenham Hotspur,2014-15,3.3
West Bromwich Albion,2014-15,2.8
West Ham United,2014-15,2.4
Bournemouth,2015-16,2.4
Arsenal,2015-16,3.7
Aston Villa,2015-16,2.6
Chelsea,2015-16,3.2
Crystal Palace,2015-16,2.7
Everton,2015-16,3.7
Leicester City,2015-16,2.5
Liverpool,2015-16,2.7
Manchester City,2015-16,3.3
Manchester United,2015-16,2.9
Newcastle United,2015-16,3.3
Norwich City,2015-16,2.6
Southampton,2015-16,2.4
Stoke City,2015-16,2.6
Sunderland,2015-16,2.1
Swansea City,2015-16,2.9
Tottenham Hotspur,2015-16,3.2
Watford,2015-16,1.6
West Bromwich Albion,2015-16,2.7
West Ham United,2015-16,2.3
Bournemouth,2016-17,2.8
Arsenal,2016-17,4.0
Burnley,2016-17,2.4
Chelsea,2016-17,3.6
Crystal Palace,2016-17,2.4
Everton,2016-17,2.9
Hull City,2016-17,1.7
Leicester City,2016-17,2.6
Liverpool,2016-17,2.4
Manchester City,2016-17,3.2
Manchester United,2016-17,3.8
Middlesbrough,2016-17,1.8
Southampton,2016-17,2.1
Stoke City,2016-17,3.2
Sunderland,2016-17,2.0
Swansea City,2016-17,2.8
Tottenham Hotspur,2016-17,2.9
Watford,2016-17,1.4
West Bromwich Albion,2016-17,3.2
West Ham United,2016-17,2.3
