,TEAM,SEASON,EST_TEAM_MARKET_VALUE
298,Burnley,2014-15,
299,QPR,2014-15,
300,Leicester City,2015-16,
301,Arsenal,2015-16,
302,Tottenham Hotspur,2015-16,
303,Manchester City,2015-16,
304,Manchester United,2015-16,
305,Southampton,2015-16,
306,West Ham United,2015-16,
307,Liverpool,2015-16,
308,Stoke City,2015-16,
309,Chelsea,2015-16,
310,Everton,2015-16,
311,Swansea City,2015-16,
312,Watford,2015-16,
313,West Bromwich Albion,2015-16,
314,Crystal Palace,2015-16,
315,Bournemouth,2015-16,
316,Sunderland,2015-16,
317,Newcastle United,2015-16,
318,Norwich City,2015-16,
319,Aston Villa,2015-16,
320,Chelsea,2016-17,
321,Tottenham Hotspur,2016-17,
322,Liverpool,2016-17,
323,Manchester City,2016-17,
324,Manchester United,2016-17,
325,Arsenal,2016-17,
326,Everton,2016-17,
327,West Bromwich Albion,2016-17,
328,Southampton,2016-17,
329,Watford,2016-17,
330,Stoke City,2016-17,
331,Leicester City,2016-17,
332,West Ham United,2016-17,
333,Burnley,2016-17,
334,Crystal Palace,2016-17,
335,Bournemouth,2016-17,
336,Hull City,2016-17,
337,Swansea City,2016-17,
338,Middlesbrough,2016-17,
339,Sunderland,2016-17,
