TEAM,SEASON,WAGE
Liverpool,2007-08,90000000.0
Manchester City,2007-08,54000000.0
Manchester United,2007-08,121000000.0
Middlesbrough,2007-08,35000000.0
Newcastle United,2007-08,75000000.0
Portsmouth,2007-08,55000000.0
Reading,2007-08,33000000.0
Sunderland,2007-08,37000000.0
Tottenham,2007-08,53000000.0
West Ham United,2007-08,54000000.0
Wigan Athletic,2007-08,38000000.0
Arsenal,2008-09,104000000.0
Aston Villa,2008-09,71000000.0
Blackburn Rovers,2008-09,46000000.0
Bolton Wanderers,2008-09,41000000.0
Chelsea,2008-09,167000000.0
Everton,2008-09,49000000.0
Fulham,2008-09,46000000.0
Hull City,2008-09,34000000.0
Liverpool,2008-09,107000000.0
Manchester City,2008-09,83000000.0
Manchester United,2008-09,123000000.0
Middlesbrough,2008-09,34000000.0
Newcastle United,2008-09,73000000.0
Portsmouth,2008-09,65000000.0
Stoke City,2008-09,30000000.0
Sunderland,2008-09,49000000.0
Tottenham,2008-09,63000000.0
West Bromwich Albion,2008-09,31000000.0
West Ham United,2008-09,70000000.0
Wigan Athletic,2008-09,42000000.0
Burnley,2009-10,22000000.0
Hull City,2009-10,38000000.0
West Ham United,2009-10,54000000.0
Reading,2012-13,46000000.0
